Candidate,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Expenditure Type,Amount,Purpose,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter
"Gianforte, Greg",08/16/2024 to 09/15/2024,C5,09/15/2024,,Yvette,,Palermo,583 NE Spanish TRL ,Boca Raton,FL,33432.0,4141.0,2,2000.0,Refund Excess Contribution,GN,,,,N,,,
"Gianforte, Greg",08/16/2024 to 09/15/2024,C5,08/16/2024,Valley Bank,,,,PO Box 5269 ,Helena,MT,59604.0,5269.0,2,60.0,Banking Fees,GN,,,,,,,
"Gianforte, Greg",08/16/2024 to 09/15/2024,C5,09/15/2024,,Sheila,G,Lake,1511 Highway 287 ,Cameron,MT,59720.0,9732.0,2,1120.0,Refund Excess Contribution,GN,,,,N,,,
"Gianforte, Greg",08/16/2024 to 09/15/2024,C5,09/15/2024,,Kenneth,,Hunt,PO Box 1302 ,Dillon,MT,59725.0,1302.0,2,260.0,Refund Excess Contribution,GN,,,,,,,
"Gianforte, Greg",08/16/2024 to 09/15/2024,C5,09/03/2024,Winred,,,,PO Box 9891 ,Arlington,VA,22219.0,1891.0,2,966.53,Credit Card Fees (77 Transactions from 08/22/2024 - 08/31/2024),GN,,,,,,,
"Gianforte, Greg",08/16/2024 to 09/15/2024,C5,08/16/2024,,Courtney,,Thomas,3736 Ellis View Loop ,Bozeman,MT,59715.0,8511.0,2,117.92,Mileage Reimbursement Bozeman to Butte 2x (176 miles) @ 0.67,GN,,,,,,,
"Gianforte, Greg",08/16/2024 to 09/15/2024,C5,09/02/2024,Nolan Iverson,,,,9450 Roller Coaster Rd ,Missoula,MT,59808.0,9742.0,2,822.96,See Attachment:,GN,,,,,,,
"Gianforte, Greg",08/16/2024 to 09/15/2024,C5,09/15/2024,Winred,,,,PO Box 9891 ,Arlington,VA,22219.0,1891.0,2,1095.94,Credit Card Fees (50 Transactions from 09/05/2024 - 09/15/2024),PM,,,,N,,,
"Gianforte, Greg",08/16/2024 to 09/15/2024,C5,09/15/2024,,John,W,Lake,1511 Highway 287 ,Cameron,MT,59720.0,9732.0,2,1120.0,Refund Excess Contribution,GN,,,,,,,
"Gianforte, Greg",08/16/2024 to 09/15/2024,C5,09/02/2024,Special Projects,,,,400 N California ,Helena,MT,59601.0,4968.0,2,7000.0,Bookkeeping & Compliance Reporting,GN,,,,,,,
"Gianforte, Greg",08/16/2024 to 09/15/2024,C5,09/15/2024,,Jewel,,Zander,PO Box 922 ,Butte,MT,59703.0,922.0,2,100.0,Refund Excess Contribution,GN,,,,,,,
"Gianforte, Greg",08/16/2024 to 09/15/2024,C5,09/15/2024,,James,G,Hollandsworth,1000 Valley Grove Drive ,Lolo,MT,59847.0,,2,500.0,Refund Excess Contribution,GN,,,,,,,
"Gianforte, Greg",08/16/2024 to 09/15/2024,C5,09/15/2024,,Kiomi,,Burks,1665 Lake Blaine Road ,Kalispell,MT,59901.0,7637.0,2,50.0,Refund Excess Contribution,GN,,,,,,,
"Gianforte, Greg",08/16/2024 to 09/15/2024,C5,09/06/2024,The Political Company,,,,PO Box 81274 ,Billings,MT,59108.0,,2,6084.75,# 6 954 Greg for Montana 8.5 x 11 in. Mailers and Remit Envelopes  and Shipping Fees ,GN,,,,,,,
"Gianforte, Greg",08/16/2024 to 09/15/2024,C5,09/06/2024,Anchor City Strategies,,,,102 Kimborough St ,Greenville,SC,29607.0,3928.0,2,10097.79,Digital Ad Placement Via E-mails for the month of August Greg for Montana,GN,,,,,,,
