Candidate,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Expenditure Type,Amount,Purpose,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter
"Delisle, Steven",04/16/2024 to 05/15/2024,C5,05/14/2024,us bank,,,us bank,209 e spruce street,missoula,MT,59801.0,,2,34.0,BANK FEE,PM,,,,N,,,
"Delisle, Steven",04/16/2024 to 05/15/2024,C5,05/09/2024,the printery,,,,206 Railroad Ave,plains,MT,59859.0,,2,1594.36,MAILERS,PM,,,,N,,,
"Delisle, Steven",04/16/2024 to 05/15/2024,C5,05/08/2024,campaign verify,,,,1215 31st Street NW,Washington DC,DC,20007.0,,2,95.0,text message,PM,,,,N,,,
"Delisle, Steven",04/16/2024 to 05/15/2024,C5,04/22/2024,revenue media group,,,,5530 S Arville St Suite K,las vegas,NV,89118.0,,2,540.0,AD DESIGN,PM,,,,N,,,
"Delisle, Steven",03/16/2024 to 04/15/2024,C5,04/09/2024,revenue media group,,,,"5530 S Arville St Suite K,",las vegas,NV,89149.0,,2,840.0,Design ,PM,,,,N,,,
"Delisle, Steven",03/16/2024 to 04/15/2024,C5,04/12/2024,us bank,,,us bank,2801 brooks street,missoula,MT,59801.0,,2,6.0,Bank fee,PM,,,,N,,,
"Delisle, Steven",01/01/2024 to 03/15/2024,C5,01/03/2024,US bank,,,US bank,2801 brooks street,missoula,MT,59801.0,,2,108.0,BANK FEE,PM,,,,N,,,
"Delisle, Steven",01/01/2024 to 03/15/2024,C5,01/02/2024,fiverr,,,,401 broadway street,new york,NY,10013.0,,2,71.08,Video Editing,PM,,,,N,,,
"Delisle, Steven",01/01/2024 to 03/15/2024,C5,01/02/2024,river edge resort,,,,168 frontage road,alberton,MT,59820.0,,2,100.0,venue space,PM,,,,N,,,
"Delisle, Steven",01/01/2024 to 03/15/2024,C5,01/02/2024,squarespace,,,,225 varick street,New York,NY,10014.0,,2,312.0,Website hosting,PM,,,,N,,,
"Delisle, Steven",01/01/2024 to 03/15/2024,C5,02/07/2024,fiverr,,,,401 broadway street suite 1500,new york,NY,10013.0,,2,137.15,Video Editing,PM,,,,N,,,
"Delisle, Steven",01/01/2024 to 03/15/2024,C5,03/14/2024,the printery,,,,206 railroad ave,plains,MT,59859.0,,2,1038.75,Mailers,PM,,,,N,,,
"Delisle, Steven",01/01/2024 to 03/15/2024,C5,03/14/2024,us bank,,,,2801 brooks st,missoula,MT,59801.0,,2,34.0,Fee,PM,,,,N,,,
