Candidate,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Expenditure Type,Amount,Purpose,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter
"Fielder, Jennifer",09/16/2024 to 10/15/2024,C5,09/27/2024,Flathead County Republican Central Committee,,,,P.O. Box 8865,Kalispell,MT,59904,,2,75.0,Entry fee for Lincoln/Reagan candidate event,GN,Candidate campaigning event,1.0,Campaigning event for candidates,N,,,
"Fielder, Jennifer",09/16/2024 to 10/15/2024,C5,10/12/2024,QR.io,,,QR.io,9450 SW Gemini Drive,Beaverton,OR,97008,,2,35.0,Purchase of a QR code for digital campaigning,GN,digital campaigning,1.0,code for digital campaign messaging and fundraising,N,,,
"Fielder, Jennifer",09/16/2024 to 10/15/2024,C5,10/11/2024,Flathead County Republican Central Committee,,,,P.O. Box 8865,Kalispell,MT,59904,,2,100.0,Donation to Flathead County Republican Central Committee ,GN,Lincoln Reagan fundraiser,1.0,Donation to county central committee desert auction,N,,,
"Fielder, Jennifer",05/15/2024 to 06/15/2024,C5,06/15/2024,First Security Bank,,,First Security Bank,107 Fulton Street,Thompson Falls,MT,59873,,2,600.0,Transfer of Primary Funds into General Funds,PM,,,,N,,,
"Evans, Elena",11/04/2024 to 11/04/2024,C7E,11/04/24,"Purple Snow Promotional, LLC",,,,1138 16th Street W,Billings,MT,59102,,All Other Expenditures,1805.86,TEXT MESSAGES TO VOTERS,General,,,,,,"20,829",Text messaging
"Evans, Elena",10/22/2024 to 10/22/2024,C7E,10/22/24,"Purple Snow Promotional, LLC",,,,1138 16th Street W,Billings,MT,59102,,All Other Expenditures,5232.69,Campaign Postcards,General,,,,,,7000,Printing and mailing
"Evans, Elena",10/22/2024 to 10/22/2024,C7E,10/22/24,"Purple Snow Promotional, LLC",,,,1138 16th Street W,Billings,MT,59102,,All Other Expenditures,3477.03,Campaign Mailer Flyers,General,,,,,,1779,Printing and mailing
"Evans, Elena",10/17/2024 to 10/17/2024,C7E,10/17/24,Cerillion N4 Partners,,,,1326 5th Ave. Suite 334,Seattle,WA,98101,,All Other Expenditures,19009.2,paid mail communications,General,,,,,,"25,625 households",Printing and mailing
"Evans, Elena",10/17/2024 to 10/17/2024,C7E,10/17/24,Fireweed Campaigns,,,,1003 Highland St,Helena,MT,59601,,All Other Expenditures,5210.0,Campaign management services,General,,,,,,,Campaign management fee and reimbursements
"Evans, Elena",09/16/2024 to 10/14/2024,C5,10/07/2024,Good Party LLC,,,,916 Silver Spur Road Suite 310,Rolling Hills Estates,CA,90274,,2,10.0,Campaign support software,GN,,,Software,N,,,
"Evans, Elena",09/16/2024 to 10/14/2024,C5,09/25/2024,Fireweed Campaigns,,,,1003 Highland St,Helena,MT,59601,,2,5000.0,Campaign management services,GN,,,Campaign management fee,N,,,
"Evans, Elena",09/16/2024 to 10/14/2024,C5,10/14/2024,"Anedot, Inc",,,,"1340 Poydras Street, Suite 1770",New Orleans,LA,70112,,2,560.82,Donor Platform Fees for the Period Sept 16-Oct 14,GN,Anedot,,Online Donation Management and Processing,N,,,
"Evans, Elena",09/16/2024 to 10/14/2024,C5,10/02/2024,Worden's Market,,,,451 N Higgins Ave,Missoula,MT,59802,,2,135.0,Food for fundraiser,GN,,,Food,N,,,
"Evans, Elena",09/16/2024 to 10/14/2024,C5,10/07/2024,Travelodge,,,,102 Rogers Ln,Livingston,MT,59047,,2,145.32,Hotel for Livingston event,GN,,,Accommodations,N,,,
"Evans, Elena",09/16/2024 to 10/14/2024,C5,10/09/2024,Cerillion N4 Partners,,,,1326 5th Ave. Suite 334,Seattle,WA,98101,,2,2250.0,Billboard advertising,GN,,,Billboard production and advertising,N,,,
"Evans, Elena",09/16/2024 to 10/14/2024,C5,10/08/2024,Amazon.com,,,,410 Terry Ave N,Seattle,WA,98109,,2,199.53,Candy for Homecoming Parade,GN,,,Food,N,,,
"Evans, Elena",09/16/2024 to 10/14/2024,C5,10/07/2024,"Purple Snow Promotional, LLC",,,,1138 16th Street W,Billings,MT,59102,,2,183.77,campaign tshirts,GN,,10.0,Tshirt printing and mailing,N,,,
"Evans, Elena",09/16/2024 to 10/14/2024,C5,09/30/2024,Wix.com,,,,"500 Terry A Francois Blvd, Suite 600",San Francisco,CA,94158,,2,7.2,Website Hosting Services,GN,,,Website hosting,N,,,
"Evans, Elena",09/16/2024 to 10/14/2024,C5,09/18/2024,Reach Progress,,,,228 Park Ave S,New York,NY,10003,,2,200.0,Voter outreach tool,GN,,,Software,N,,,
"Evans, Elena",09/16/2024 to 10/14/2024,C5,10/14/2024,Democracy Engine,,,,2125 14th St NW #101W,Washington,DC,20009,,2,36.85,Donor Platform Fees for the Period Sept 16-Oct 14,GN,Democracy Engine,,Online Donation Management and Processing,N,,,
