Candidate,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Expenditure Type,Amount,Purpose,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter
"Farris-Olsen, Erin  L",06/16/2024 to 08/15/2024,C5,08/07/2024,Good Coffee,,,,PDX Intl Airport Portland OR 97218,Portland,OR,97218,,2.0,30.25,Meal travel back to Missoula for trial lawyers event,GN,in person,1 meal,Meal travel back to Missoula for trial lawyers event,N,,,
"Farris-Olsen, Erin  L",06/16/2024 to 08/15/2024,C5,07/17/2024,Plazby,,,,796 Stonegate Dr.,Bozeman,MT,59715,,2.0,1500.0,Consulting fee ,GN,,,"Campaign advice, strategy, and support.",N,,,
"Farris-Olsen, Erin  L",06/16/2024 to 08/15/2024,C5,07/09/2024,Last Chance Pub,,,,2203 Montana Ave,Billings ,MT,59601,,2.0,29.0,Meals for candidate,GN,attend fundraiser/outreach,1 meal ,attend fundraiser / outreach,N,,,
"Farris-Olsen, Erin  L",06/16/2024 to 08/15/2024,C5,08/08/2024,Lyft,,,,Lyft.com,Helena,MT,0,,2.0,10.62,Transportation from trial lawyers event,GN,transportation,travel from event,travel from trial lawyers event,N,,,
"Farris-Olsen, Erin  L",06/16/2024 to 08/15/2024,C5,08/14/2024,Stripe,,,,354 Oyster Point Blvd,San Francisco,CA,94080,,2.0,108.47,7/16 to 8/15 Donation Platform fee,GN,Donorbox.org,$6190 in donations,transaction fee,N,,,
"Farris-Olsen, Erin  L",06/16/2024 to 08/15/2024,C5,07/15/2024,Floco-Hamilton,,,,1300 N First St ,Hamilton,MT,59804,,2.0,6.75,Meal for candidate during travel,GN,attend fundraiser,1 coffee,meal during travel to fundraiser,N,,,
"Farris-Olsen, Erin  L",06/16/2024 to 08/15/2024,C5,08/14/2024,ActBlue,,,,actblue.com,Helena,MT,0,,2.0,28.72,7/16 to 8/15 donation transaction fees,GN,actblue.com,$1910 of donations,transaction fee,N,,,
"Farris-Olsen, Erin  L",06/16/2024 to 08/15/2024,C5,08/08/2024,Lyft,,,,Lyft.com,Helena,MT,0,,2.0,11.76,Transportation,GN,lyft to event,1 lyft to trial lawyers event,transportation to trial lawyers event,N,,,
"Farris-Olsen, Erin  L",06/16/2024 to 08/15/2024,C5,08/14/2024,Donorbox,,,,donorbox.org,Helena,MT,0,,2.0,199.42,7/16 to 8/15 Donation Processing,GN,Donorbox.com,$6190 of donations,transaction fees,N,,,
"Farris-Olsen, Erin  L",06/16/2024 to 08/15/2024,C5,08/14/2024,Stripe,,,,354 Oyster Point Blvd,San Francisco,CA,94080,,2.0,39.0,donation transaction fees 7/16 to 8/15,GN,actblue.com,$1910 of donations ,transaction fees,N,,,
"Farris-Olsen, Erin  L",06/16/2024 to 08/15/2024,C5,07/17/2024,,Sandi,,Luckey,PO Box 2238 ,East Helena,MT,59635,,2.0,2730.0,Campaign support,GN,,42 hours at $65 per hour,"Call time support, scheduling, and campaign coordination support",N,,,
"Farris-Olsen, Erin  L",06/16/2024 to 08/15/2024,C5,07/14/2024,ActBlue,,,,actblue.com,Helena,MT,0,,2.0,82.85,6/16 to 7/15 Donation Platform,GN,actblue,$5520 donations,transaction fee,N,,,
"Farris-Olsen, Erin  L",06/16/2024 to 08/15/2024,C5,07/14/2024,Stripe,,,,actblue.com,helena,MT,0,,2.0,130.41,6/16 to 7/15 Donation Platform,GN,act blue,$5520 donations,transaction fees,N,,,
"Farris-Olsen, Erin  L",06/16/2024 to 08/15/2024,C5,07/09/2024,Wheat Montana Bakery & Deli,,,,10778 Hwy 287 ,Three Forks,MT,59752,,2.0,11.25,Travel food,GN,travel,1 meal,Meal for travel to billings for funraiser rotary meeting,N,,,
"Farris-Olsen, Erin  L",06/16/2024 to 08/15/2024,C5,07/09/2024,Alaska Airlines,,,,Alaskaair.com,Helena,MT,0,,2.0,291.7,Flight to Missoula,GN,,roundtrip flight,trial lawyers event in missoula,N,,,
"Farris-Olsen, Erin  L",06/16/2024 to 08/15/2024,C5,06/26/2024,Livingston Area Chamber of Commerce,,,Livingston Area Chamber of Commerce,303 East Park Street ,Livingston,MT,59047,,2.0,125.0,Parade entry fee,GN,parade,1 parade,campaigning,N,,,
"Farris-Olsen, Erin  L",06/16/2024 to 08/15/2024,C5,06/26/2024,Photography by Mary Williams,,,,1717 Euclid Ave,Helena,MT,59601,,2.0,325.0,Mini Photo session,GN,online,1 mini session,campaign headshots,N,,,
"Farris-Olsen, Erin  L",06/16/2024 to 08/15/2024,C5,07/01/2024,Numero,,,,695 Town Center Dr,Costa Mesa,CA,92626,,2.0,750.0,Calling Services,GN,online,1 month,data and calling software,N,,,
"Farris-Olsen, Erin  L",06/16/2024 to 08/15/2024,C5,07/14/2024,Donorbox,,,,donorbox.org,Helena,MT,0,,2.0,183.91,06/16 to 07/15 Donation processing fee,GN,Donorbox,$5875 donations,transaction fees,N,,,
"Farris-Olsen, Erin  L",06/16/2024 to 08/15/2024,C5,07/14/2024,Stripe,,,,donorbox.org,Helena,MT,0,,2.0,102.91,6/16 to 7/15 Donation Platform fee,GN,Donorbox,$5875 donations	,transaction fee,N,,,
"Farris-Olsen, Erin  L",06/16/2024 to 08/15/2024,C5,07/02/2024,Winco Foods,,,,2995 N Sanders St,Helena,MT,59601,,2.0,113.24,Parade candy,GN,in person,bag candy,campaign at parades,N,,,
"Farris-Olsen, Erin  L",06/16/2024 to 08/15/2024,C5,08/01/2024,Numero,,,,695 Town Center Dr,Costa Mesa,CA,92626,,2.0,750.0,Calling Software subscription,GN,data and calling software,month,data and calling software,N,,,
"Farris-Olsen, Erin  L",05/29/2024 to 05/30/2024,C7E,05/30/24,Advrtlab,,,,3012 4th Ave. North Ste C,Billings,MT,59101,,All Other Expenditures,1500.0,Filming for advertising,Primary,,,,,multiple,1.0,Filming for advertising
