Candidate,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Expenditure Type,Amount,Purpose,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter
"Tempel, Russel  e",08/16/2022 to 09/15/2022,C5,08/30/2022,,Ed,,Hill,1612 Pine Dr ,Havre,MT,59501.0,,2.0,200.0,Donation to Ed Hill Campaign,GN,,,,N,,,
"Tempel, Russel  e",08/16/2022 to 09/15/2022,C5,08/26/2022,The River Press FB,,,,Box 69,Fort Benton,MT,59442.0,,2.0,88.2,2x3 Ads,GN,Newspaper,,,N,,,
"Tempel, Russel  e",07/16/2022 to 08/15/2022,C5,07/18/2022,Hill Co. Printing,,,,524 1st Street,Havre,MT,59501.0,,2.0,965.0,26 x 16 yard sign with stands,GN,print signs,,,N,,,
"Tempel, Russel  e",07/16/2022 to 08/15/2022,C5,08/11/2022,Hi-Line Health Foundation,,,,Box 705,Chester,MT,59522.0,,2.0,150.0,Donation for health foundation,GN,,,,N,,,
"Tempel, Russel  e",07/16/2022 to 08/15/2022,C5,07/26/2022,Big Sandy Mountaineer,,,,PO Box 529,Big Sandy,MT,59520.0,,2.0,38.0,2x4 Paper Ad,GN,Newspaper,1.0,,N,,,
"Tempel, Russel  e",06/16/2022 to 07/15/2022,C5,06/30/2022,Bear Paw Credit Union,,,Bear Paw Credit Union,103 1st St East,Chester,MT,59522.0,,2.0,3309.77,Transfer of Primary funds to General Funds,PM,,,,N,,,
"Tempel, Russel  e",06/16/2022 to 07/15/2022,C5,07/02/2022,Joplin City Park,,,,1st St. North,Joplin ,MT,59531.0,,2.0,20.0,Truck pass for Joplin Car Show ,GN,,,donation to the car show,N,,,
"Tempel, Russel  e",05/28/2022 to 05/31/2022,C7E,05/31/22,US Post  Office,,,,115 3rd St,havre,MT,59501.0,,All Other Expenditures,976.4,Postage for Every Door Direct Mailing ,Primary,,,,,Campaign Flyer,4882.0,Postage
"Tempel, Russel  e",05/16/2022 to 06/15/2022,C5,06/13/2022,Liberty County Times,,,,Box 689,Chester,MT,59522.0,,2,154.0,2 - 2x3 1-2x5 Political Ad,PM,Liberty County Times campaign ads,3,2 primary print ads and a Thank you ad,N,,,
"Tempel, Russel  e",05/16/2022 to 06/15/2022,C5,06/12/2022,The River Press FB,,,,Box 69,Fort Benton ,MT,59442.0,,2,63.0,2x6 Thank you Ad One Time,PM,The River Press print ad,1,Thank you ad,N,,,
"Tempel, Russel  e",05/16/2022 to 06/15/2022,C5,06/12/2022,Havre Daily News,,,,119 2nd St,Havre,MT,59501.0,,2,180.0,3x5 Thank you Ad One Time,PM,Havre Daily News Print Ad,1,Thank you Ad,N,,,
"Tempel, Russel  e",05/16/2022 to 06/15/2022,C5,05/31/2022,US Post  Office,,,,115 3rd St,havre,MT,59501.0,,2,976.4,Postage for Every Door Direct Mailing ,PM,Campaign Flyer,4882,Postage,Y,,,
"Tempel, Russel  e",05/16/2022 to 06/15/2022,C5,05/27/2022,Hill Co Printing,,,,524 1st St,Havre,MT,59501.0,,2,1620.0,9x6.5 Mailers,PM,Every Door Direct Mailing,"10,000",Mailers for primary campaign,Y,,,
"Tempel, Russel  e",05/15/2022 to 05/29/2022,C7E,05/27/22,Hill Co Printing,,,,524 1st St,Havre,MT,59501.0,,All Other Expenditures,1620.0,9x6.5 Mailers,Primary,,,,,Every Door Direct Mailing,"10,000",Mailers for primary campaign
"Tempel, Russel  e",04/19/2022 to 05/15/2022,C5,05/06/2022,The River Press,,,,Box 69,Fort Benton,MT,59442.0,,2,116.55,"4-4X3"" Paper Political Ads",PM,,,,N,,,
"Tempel, Russel  e",04/19/2022 to 05/15/2022,C5,05/02/2022,Havre Daily News,,,,Box 431,Havre,MT,59501.0,,2,540.0,10-2x3 Paper political ads,PM,,,,Y,,,
"Tempel, Russel  e",01/01/2022 to 03/15/2022,C5,01/13/2022,Montana Secretary of State,,,,1301 6th Ave,Helena,MT,59601.0,,2,15.0,File For Legislature Fee,PM,,,,N,,,
"Tempel, Russel  e",01/01/2022 to 03/15/2022,C5,01/04/2022,US Post  Office,,,,1 1st St E,Chester,MT,59522.0,,2,81.2,US PO Postage,PM,,,,N,,,
"Tempel, Russel  e",01/01/2022 to 03/15/2022,C5,02/17/2022,Hill Co Printing,,,Hill Co Printing,524 1st St,Havre,MT,59501.0,,2,185.0,Envelopes Campaign ,PM,,500,Printed Campaign Envelopes to hand out,Y,,,
"Tempel, Russel  e",01/01/2022 to 03/15/2022,C5,02/17/2022,Hill Co Printing,,,Hill Co Printing,524 1st St,Havre,MT,59501.0,,2,169.0,HAND OUT CARDS,PM,,500 Cards  1110# 2 3/4x4 double sided,campaign cards,Y,,,
"Tempel, Russel  e",01/01/2022 to 03/15/2022,C5,02/17/2022,Hill Co Printing,,,Hill Co Printing,524 1st St,Havre,MT,59501.0,,2,12.0,60# Paper Ream,PM,,Ream,,Y,,,
"Tempel, Russel  e",01/01/2022 to 03/15/2022,C5,02/17/2022,Hill Co Printing,,,Hill Co Printing,524 1st St,Havre,MT,59501.0,,2,389.0,Large Hand Out Flyers,PM,,500,5 1/4 X 8 1/2 110# for door hand outs,Y,,,
"Tempel, Russel  e",01/01/2022 to 03/15/2022,C5,03/02/2022,Staples,,,,207 NW Bypass,Great Falls,MT,59404.0,,2,64.49,Envelope Labels,PM,,,,Y,,,
"Tempel, Russel  e",01/01/2022 to 03/15/2022,C5,02/08/2022,US Post  Office,,,,2 Main St,Chester,MT,59522.0,,2,72.0,Box Rent Annual,PM,,,,Y,,,
"Tempel, Russel  e",01/01/2022 to 03/15/2022,C5,01/16/2022,Havre Chamber,,,,101 5th Ave,Havre,MT,59501.0,,2,110.0,Annual Dues,PM,,,,Y,,,
"Tempel, Russel  e",01/01/2022 to 03/15/2022,C5,03/05/2022,Liberty County Chamber,,,,Box 632,Chester,MT,59522.0,,2,100.0,Donation for Triangle Hall,PM,,,,N,,,
"Tempel, Russel  e",10/01/2021 to 12/31/2021,C5,10/12/2021,Bear Paw Credit,,,,103 1st St East,Chester,MT,59522.0,,2,27.59,bank checks for campaign account,PM,,250 checks ,,Y,,,
"Olsen, Andrea",08/16/2022 to 09/15/2022,C5,08/27/2022,,Marilyn Marler,,Marilyn Marler for HD90,1750 S. 8th Street W.,Missoula,MT,59801.0,,2,70.0,Alcohol for Fundraiser w/Mudslide Charley,GN,,,,N,,,
"Olsen, Andrea",08/16/2022 to 09/15/2022,C5,09/07/2022,Costco,,,,3220 Northern Reserve St,Missoula,MT,59808.0,,2,116.73,Food for Play & Paella - (Meet & Greet),GN,,,,N,,,
"Olsen, Andrea",08/16/2022 to 09/15/2022,C5,09/13/2022,ActBlue,,,,PO Box 441146,Somerville,MA,2144.0,,2,4.94,Fees on two contributions from 8/16-9/15.,GN,,,,N,,,
"Olsen, Andrea",08/16/2022 to 09/15/2022,C5,09/06/2022,Costco,,,,3220 Northern Reserve St,Missoula,MT,59808.0,,2,24.18,Food for Play & Paella - (Meet & Greet),GN,,,,N,,,
"Olsen, Andrea",08/16/2022 to 09/15/2022,C5,09/07/2022,,Jesse,,Mullen for Montana,P.O. Box 811,Deer Lodge,MT,59722.0,,2,100.0,Fundraiser Sponsorship,GN,,,,N,,,
"Olsen, Andrea",08/16/2022 to 09/15/2022,C5,09/08/2022,Carol's List,,,,PO Box 1447,Helena,MT,59624.0,,2,50.0,Carol's List Event ,GN,,,,N,,,
"Olsen, Andrea",08/16/2022 to 09/15/2022,C5,09/09/2022,Orange Street Food Farm,,,,701 S. Orange Street,Missoula,MT,59801.0,,2,30.94,Food for Play & Paella - (Meet & Greet),GN,,,,N,,,
"Olsen, Andrea",08/16/2022 to 09/15/2022,C5,09/09/2022,Costco,,,,3220 Northern Reserve St,Missoula,MT,59808.0,,2,32.56,Food for Play & Paella - (Meet & Greet),GN,,,,N,,,
"Olsen, Andrea",06/16/2022 to 08/15/2022,C5,07/01/2022,Big Bear Sign Company Incorporated,,,,1315 Clark Fork Lane,Missoula,MT,59808.0,,2,219.0,Vinyl Decals for Signs,GN,,,,N,,,
"Olsen, Andrea",06/16/2022 to 08/15/2022,C5,07/28/2022,Mountain Ink and Toner,,,,3055 N. Reserve Street,Missoula,MT,59808.0,,2,111.98,Toner,GN,,,,N,,,
"Olsen, Andrea",05/19/2022 to 06/15/2022,C5,06/04/2022,The Rhinoceros,,,,158 Ryman,Missoula,MT,59802.0,,2,30.0,Wine for the Table at the Williams Dinner,PM,,,,N,,,
"Olsen, Andrea",05/19/2022 to 06/15/2022,C5,06/09/2022,Greek Pastry Shop,,,,520 S. 5th Street W,Missoula,MT,59801.0,,2,24.45,Food for Volunteers - sign pick up.,PM,,,,N,,,
"Olsen, Andrea",05/19/2022 to 06/15/2022,C5,06/05/2022,Costco,,,,3220 Northern Pacific Avenue,Missoula,MT,598058.0,,2,6.99,"Masks for ""Give Politics a Dance!""",PM,,,,N,,,
"Olsen, Andrea",05/19/2022 to 06/15/2022,C5,06/04/2022,,Lynn,,Exe,910 Cole Street,Helena,MT,59601.0,,2,200.0,"Downpayment for food for auction item, Peace Dinner - Right to Food ",PM,,,,N,,,
"Olsen, Andrea",05/19/2022 to 06/15/2022,C5,05/24/2022,Costco,,,,3220 Northern Pacific Avenue,Missoula,MT,598058.0,,2,138.89,Food and Drink for Volunteers,PM,,,,N,,,
"Olsen, Andrea",05/19/2022 to 06/15/2022,C5,06/10/2022,ActBlue,,,,PO Box 441146,Somerville,MA,2144.0,,2,3.95,ActBlue Fee for 1 donation.,GN,,,,N,,,
"Olsen, Andrea",05/19/2022 to 06/15/2022,C5,06/07/2022,ActBlue,,,,PO Box 441146,Somerville,MA,2144.0,,2,4.95,ActBlue Fees for 4 donations,PM,,,,N,,,
"Olsen, Andrea",05/19/2022 to 06/15/2022,C5,05/21/2022,Rubys,,,,2101 Regent Street,Missoula,MT,59801.0,,2,27.0,Food for volunteers,PM,,,,N,,,
