Candidate,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Expenditure Type,Amount,Purpose,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter
"Pinocci, Randy",08/16/2022 to 09/15/2022,C5,09/14/2022,mileage plus,,,Mileage Plus United,PO Box 6294,Carol Stream,IL,60197,,2,407.2,Travel Fuel Helena to Great Falls,GN,,,,N,,,
"Pinocci, Randy",06/16/2022 to 08/15/2022,C5,08/13/2022,Special Projects,,,,400 N California Ave,Helena,MT,59601,,2,728.54,Bookkeeping & Compliance Reporting,GN,,,,N,,,
"Pinocci, Randy",06/16/2022 to 08/15/2022,C5,07/23/2022,Special Projects,,,,400 N California Ave,Helena,MT,59601,,2,717.16,Bookkeeping & Compliance Reporting,GN,,,,N,,,
"Pinocci, Randy",06/16/2022 to 08/15/2022,C5,07/23/2022,mileage plus,,,Mileage Plus United,PO Box 6294,Carol Stream,IL,60197,,2,259.0,Montana GOP Registration Fee,GN,,,,N,,,
"Pinocci, Randy",06/16/2022 to 08/15/2022,C5,08/15/2022,mileage plus,,,Mileage Plus United,PO Box 6294,Carol Stream,IL,60197,,2,1053.26,See Addendum:,GN,,,,Y,,,
"Pinocci, Randy",05/15/2022 to 06/15/2022,C5,06/15/2022,Valley Bank,,,Valley Bank,3030 N Montana Avenue,Helena,MT,59601,,2,9025.94,Transfer of Primary funds to General Funds,PM,,,,N,,,
"Pinocci, Randy",05/15/2022 to 06/15/2022,C5,06/07/2022,mileage plus,,,Mileage Plus United,PO Box 6294,Carol Stream,IL,60197,,2,780.09,See Attachment:,PM,,,,Y,,,
"Pinocci, Randy",05/15/2022 to 06/15/2022,C5,06/15/2022,Special Projects,,,,400 N California Ave,Helena,MT,59601,,2,589.27,Bookkeeping and Compliance Reporting,GN,,,,N,,,
"Pinocci, Randy",04/16/2022 to 05/14/2022,C5,05/14/2022,mileage plus,,,Mileage Plus United,PO Box 6294,Carol Stream,IL,60197,,2,1629.54,See Attachment:,PM,,,,Y,,,
"Pinocci, Randy",04/16/2022 to 05/14/2022,C5,05/14/2022,mileage plus,,,Mileage Plus United,PO Box 6294,Carol Stream,IL,60197,,2,908.5,See Attachment:,PM,,,,Y,,,
"Pinocci, Randy",04/16/2022 to 05/14/2022,C5,05/14/2022,Special Projects,,,,400 N California Ave,Helena,MT,59601,,2,695.31,bookeeping and compliance reporting,PM,,,,N,,,
"Pinocci, Randy",03/16/2022 to 04/15/2022,C5,04/09/2022,Special Projects,,,,400 N California Ave,Helena,MT,59601,,2,593.95,bookeeping and compliance reporting,PM,,,,N,,,
"Pinocci, Randy",01/01/2022 to 03/15/2022,C5,03/03/2022,Special Projects,,,,400 N California Ave,Helena,MT,59601,,2,595.08,Bookkeeping and Compliance Reporting,PM,,,,N,,,
"Pinocci, Randy",01/01/2022 to 03/15/2022,C5,03/02/2022,Mileage Plus United,,,,PO Box 6294 ,Carol Stream,IL,60197,6294.0,2,1350.52,See Attachment:,PM,,,,Y,,,
"Pinocci, Randy",01/01/2022 to 03/15/2022,C5,02/19/2022,Special Projects,,,,400 N California Ave,Helena,MT,59601,,2,726.51,Bookkeeping and Compliance Reporting,PM,,,,N,,,
"Pinocci, Randy",01/01/2022 to 03/15/2022,C5,03/15/2022,Mileage Plus United,,,,PO Box 6294 ,Carol Stream,IL,60197,6294.0,2,1645.35,See Attachment:,PM,,,,Y,,,
"Pinocci, Randy",01/01/2022 to 03/15/2022,C5,03/12/2022,Special Projects,,,,400 N California Ave,Helena,MT,59601,,2,585.57,Bookkeeping and Compliance Reporting,PM,,,,N,,,
"Pinocci, Randy",10/01/2021 to 12/31/2021,C5,12/29/2021,Special Projects,,,,400 N California Ave,Helena,MT,59601,,2,1029.73,Bookeeping  and Compliance Reporting,PM,,,,N,,,
"Galbreath , K  Webb",05/15/2022 to 06/20/2022,C5,06/16/2022,1st Liberty,,,1st Liberty,310 West Main,Cut Bank,MT,59427,,2,100.0,Transfer of Primary Funds into General Funds,PM,,,,N,,,
"Bukacek, Ann",08/22/2022 to 09/19/2022,C5,08/30/2022,Barnes & Noble,,,,858 Bedford Ave #48,Brooklyn,NY,11205-2,,2,39.97,"book ""Inconvenient Facts"" related to my research on Climate Change",GN,,,,N,,,
"Bukacek, Ann",08/22/2022 to 09/19/2022,C5,08/23/2022,,Mary,,Cochran,202 Taelor Rd,kalispell,MT,59901,,2,293.7,"candy for parades, fairs, etc related to PSC campaign",GN,,,,N,,,
"Bukacek, Ann",08/22/2022 to 09/19/2022,C5,09/02/2022,Safeway Fuel,,,,40774 MT Hwy 35,Polson,MT,59860,,2,25.67,attended Dr. Kate Vandemoer's talk on water compact in Stevensville 9/2 @ Frontier Cafe and was her back up speaker; mileage 21220-21271,GN,,,,N,,,
"Bukacek, Ann",08/22/2022 to 09/19/2022,C5,08/23/2022,Conoco Pier 93,,,,49433 Hwy 93 S,Polson,MT,59860,,2,50.05,gas used for meeting in Hamilton; MT Rep Michelle Binkley reporting on ETIC interim committee,GN,,,,N,,,
"Bukacek, Ann",08/22/2022 to 09/19/2022,C5,09/16/2022,Dollar Tree,,,,2355 Hwy 93 N,Kalispell,MT,59901,,2,10.5,Thank you cards,GN,,,,N,,,
"Bukacek, Ann",08/22/2022 to 09/19/2022,C5,09/12/2022,Website Express,,,,35 S Main,Kalispell,MT,59901,,2,29.95,management of campaign website,GN,,,,N,,,
"Bukacek, Ann",08/22/2022 to 09/19/2022,C5,09/10/2022,Oconnell Quick Stop,,,,21385 Hwy 83,Bigfork,MT,59911,,2,75.0,gas for Power Montana Harvest Festival and parade mileage on truck 189808-190228,GN,,,,N,,,
"Bukacek, Ann",08/22/2022 to 09/19/2022,C5,09/10/2022,Cenex,,,,hwy 35 & 83,Bigfork,MT,59911,,2,45.12,gas for Power Montana Harvest Festival and Parade; truck mileage 189818 to 190228 ,GN,,,,N,,,
"Bukacek, Ann",08/22/2022 to 09/19/2022,C5,08/29/2022,Insty Prints,,,,131 Main St,Kalispell,MT,59901,,2,100.0,large PSC name tags,GN,,,,N,,,
"Bukacek, Ann",08/22/2022 to 09/19/2022,C5,08/31/2022,Blackstone Publishing CO,,,,31 Mistletoe Rd,Ashland,OR,97520,,2,24.04,"CD for travels ""The moral case for Fossil Fuels"" ",GN,,,,N,,,
"Bukacek, Ann",08/22/2022 to 09/19/2022,C5,09/12/2022,Barnes & Noble,,,,858 Bedford Ave #48,Brooklyn,NY,11205,,2,145.47,Fossil Future by Alex Epstein,GN,,,,N,,,
"Bukacek, Ann",08/22/2022 to 09/19/2022,C5,09/11/2022,Conoco,,,,1319 S Main,Kalispell,MT,59901,,2,32.42,gas For Lincoln Reagan Dinner 9/11/22 in Ronan Lake CO; I was keynote speaker;  mileage on SUV 2277-2407,GN,,,,N,,,
"Bukacek, Ann",08/22/2022 to 09/19/2022,C5,09/10/2022,Home Depot,,,,2455,Kalispell,MT,59901,,2,36.72,colored duct tape for signs for waving and to put on truck for parade,GN,,,,N,,,
"Bukacek, Ann",08/22/2022 to 09/19/2022,C5,09/19/2022,Flathead Republicans,,,,PO Box,kalispell,MT,59904,,2,1000.0,VIP table sponsor for Lincoln Reagan Dinner; asked to be one of the speakers; Republican Central Committee PO Box 886 Kal 59904,GN,,,,N,,,
"Bukacek, Ann",08/22/2022 to 09/19/2022,C5,09/09/2022,Cenex Mountain,,,,525 Main St,Lincoln,MT,59639,,2,100.0,gas for Power Montana Harvest Festival and parade mileage on truck 189808-190228,GN,,,,N,,,
"Bukacek, Ann",08/22/2022 to 09/19/2022,C5,08/23/2022,Conoco Allards Stage ,,,,77579 Hwy 93 S,St. Ignatius,MT,59865,,2,14.7,gas used for meeting in Hamilton; MT Rep Michelle Binkley reporting on ETIC interim committee,GN,,,,N,,,
"Bukacek, Ann",08/22/2022 to 09/19/2022,C5,09/02/2022,Staples COnnect,,,,1290 Highway 2 E,kalispell,MT,59901,,2,135.18,"folders, binders to organize information related to PSC",GN,,,,N,,,
"Bukacek, Ann",06/16/2022 to 08/21/2022,C5,07/16/2022,Exxon Mobile,,,,4810 US 93 S,Kalispell,MT,59901,,2,140.39,gas for campaign related trip to Billings; GOP Platform Convention,GN,,,,N,,,
"Bukacek, Ann",06/16/2022 to 08/21/2022,C5,07/16/2022,Conoco,,,,20 A Loop Rd Suite C,Big Timber,MT,59011,,2,128.01,gas for campaign related trip to Billings; GOP Platform Convention,GN,,,,N,,,
"Bukacek, Ann",06/16/2022 to 08/21/2022,C5,07/01/2022,,Jackie,,Rodriguez,180 Browns Meadow Rd,Kila,MT,59920,,2,154.87,campaign related parade entry time and materials,GN,,,,N,,,
"Bukacek, Ann",06/16/2022 to 08/21/2022,C5,08/18/2022,conoco Roveros,,,,3182 Hwy 83,Seeley Lake,MT,59868,,2,25.37,gas for campaign trip to Great Falls; speaking engagement for me at Cascade CO Pachyderm,GN,,,,N,,,
"Bukacek, Ann",06/16/2022 to 08/21/2022,C5,08/18/2022,Conoco,,,,3601 10th Ave S,Great Falls,MT,59405,,2,53.56,Gas for campaig related trip to Great Falls speaking engagement for me at Cascade CO Pachyderm,GN,,,,N,,,
"Bukacek, Ann",06/16/2022 to 08/21/2022,C5,06/19/2022,,Jackie,,Rodriguez,180 Browns Meadow Rd,Kila,MT,59920,,2,266.0,campaign parade entry labor and supplies,GN,,,,N,,,
"Bukacek, Ann",06/16/2022 to 08/21/2022,C5,08/09/2022,,Alecia,,Payne-Morgan,8355 Hwy 2,Marion,MT,59925,,2,200.0,postcard labels and candy for parade,GN,,,,N,,,
"Bukacek, Ann",06/16/2022 to 08/21/2022,C5,08/19/2022,,Alecia,,Payne-Morgan,8355 Hwy 2,Marion,MT,59925,,2,200.0,postcard labels and taped candy for county fair,GN,,,,N,,,
"Bukacek, Ann",06/16/2022 to 08/21/2022,C5,08/12/2022,Website Express,,,,35 Main St,Kalispell,MT,59901,,2,29.95,campaign website maintenance,GN,,,,N,,,
"Bukacek, Ann",06/16/2022 to 08/21/2022,C5,08/15/2022,Fairfield Suntimes,,,,409 Central Ave,Fairfield,MT,59436,,2,348.0,Newspaper ad,GN,,,,N,,,
"Bukacek, Ann",06/16/2022 to 08/21/2022,C5,08/02/2022,Exxon Mobile,,,,50667 Hwy 93,Polson,MT,59860,,2,52.59,gas for a campaign related meeting in Lake CO; speaking engagement by me before Lake CO Republican Women Polson,GN,,,,N,,,
"Bukacek, Ann",06/16/2022 to 08/21/2022,C5,07/21/2022,Website Express,,,,35 S Main,Kalispell,MT,59901,,2,350.0,work on campaign website,GN,,,,N,,,
"Bukacek, Ann",06/16/2022 to 08/21/2022,C5,07/25/2022,Conoco ,,,,305 E Idaho,Kalispell,MT,59901,,2,34.91,gas for campaign related trip to Lake County; speaking engagement by me before Lake CO Pachyderm Polson,GN,,,,N,,,
"Bukacek, Ann",06/16/2022 to 08/21/2022,C5,07/15/2022,Clearwater Stop & Go,,,,44676 MT 200 E,Greenough,MT,59823,,2,93.46,gas for campaign related trip to Billings; GOP Platform Convention,GN,,,,N,,,
"Bukacek, Ann",06/16/2022 to 08/21/2022,C5,07/15/2022,Brian's South,,,,1319 S Main St,Kalispell,MT,59901,,2,31.05,gas for campaign related trip to Billings; GOP Platform Convention,GN,,,,N,,,
"Bukacek, Ann",06/16/2022 to 08/21/2022,C5,08/15/2022,Conoco Roveros,,,,3182 MT HWY 83,Seeley Lake,MT,59868,,2,70.55,campaign related trip to Helena; candidate forum Kiwanis,GN,,,,N,,,
"Bukacek, Ann",06/16/2022 to 08/21/2022,C5,08/18/2022,Brian's South Conoco,,,,1319 Hwy 93 S,Kalispell,MT,59901,,2,11.38,gas for campaign related trip to Great Falls; speaking engagement for me at Cascade CO Pachyderm,GN,,,,N,,,
"Bukacek, Ann",06/16/2022 to 08/21/2022,C5,08/17/2022,Lake County Leader,,,,108 1st St E,Polson,MT,59860,,2,1047.0,Newspaper ad,GN,,,,N,,,
"Bukacek, Ann",06/16/2022 to 08/21/2022,C5,08/15/2022,Acantha News,,,,216 1st Ave NW,Choteau,MT,59422,,2,380.0,Newspaper ad,GN,,,,N,,,
"Bukacek, Ann",06/16/2022 to 08/21/2022,C5,08/15/2022,Daily Interlake,,,,727 E Idaho,Kalispell,MT,59901,,2,1370.0,Newspaper ad,GN,,,,N,,,
"Bukacek, Ann",06/16/2022 to 08/21/2022,C5,08/15/2022,Insty Prints,,,,131 Main St,Kalispell,MT,59901,,2,40.0,Campaign badge,GN,,,,N,,,
"Bukacek, Ann",05/18/2022 to 06/15/2022,C7E,06/06/22,Bee Broadcasting,,,,PO Box 5409,Kalispell,MT,59901,,All Other Expenditures,1845.0,Radio ads,Primary,,,,,,,
"Bukacek, Ann",05/18/2022 to 06/15/2022,C7E,05/31/22,Daily Interlake,,,,727 E Idaho,kalispell,MT,59901,,All Other Expenditures,1924.8,Newspaper ads,Primary,,,,,,,
"Bukacek, Ann",05/18/2022 to 06/15/2022,C7E,06/06/22,Hilton Garden Inn,,,,1840 US Hwy 93 S,Kalispell,MT,59901,,All Other Expenditures,2197.0,thank you banquet for campaign volunteers,Primary,,,,,,,
"Bukacek, Ann",05/18/2022 to 06/15/2022,C7E,06/03/22,Lee Newspapers,,,,2222 N Washington St,Helena,MT,59601,,All Other Expenditures,1139.0,campaign newspaper ad in Helena IR,Primary,,,,,,,
"Bukacek, Ann",05/18/2022 to 06/15/2022,C7E,06/06/22,Montana Radio Company,,,,2520 Airport Rd,Helena,MT,59601,,All Other Expenditures,1440.0,Radio ad,Primary,,,,,,,
